,id,types,rarity,skin,total_traits,traits
0,2000,Female,234,Dark,3,"Big Shades,Earring,Tiara"
1,2001,Female,9847,Mid,3,"Earring,Purple Lipstick,Stringy Hair"
2,2002,Male,9622,Albino,2,"Messy Hair,Shadow Beard"
3,2003,Male,8662,Light,2,"Headband,Horned Rim Glasses"
4,2004,Male,5582,Mid,3,"Eye Patch,Frumpy Hair,Handlebars"
5,2005,Male,8897,Light,2,"Horned Rim Glasses,Knitted Cap"
6,2006,Male,5090,Light,4,"Cigarette,Crazy Hair,Earring,Front Beard Dark"
7,2007,Female,2404,Light,2,"Blonde Bob,Hot Lipstick"
8,2008,Female,2422,Dark,2,"Earring,Red Mohawk"
9,2009,Male,3992,Dark,3,"Earring,Normal Beard,Police Cap"
10,2010,Male,3122,Mid,3,"Classic Shades,Front Beard Dark,Purple Hair"
11,2011,Male,4691,Light,3,"Cap Forward,Muttonchops,Nerd Glasses"
12,2012,Female,9450,Dark,3,"Cigarette,Frumpy Hair,Hot Lipstick"
13,2013,Female,8056,Albino,1,Mohawk Dark
14,2014,Female,3618,Dark,3,"Green Eye Shadow,Hot Lipstick,Tassle Hat"
15,2015,Female,730,Light,3,"Earring,Nerd Glasses,Pink With Hat,Hidden Earring"
16,2016,Female,657,Mid,2,"Earring,Pigtails"
17,2017,Female,9698,Dark,2,"Messy Hair,Mole"
18,2018,Female,2032,Light,3,"Blonde Bob,Clown Eyes Blue,Vape"
19,2019,Female,8369,Dark,2,"Clown Eyes Green,Mohawk Dark"
20,2020,Male,1447,Dark,2,"Classic Shades,Cowboy Hat"
21,2021,Male,9946,Mid,2,"Bandana,Nerd Glasses"
22,2022,Female,2757,Dark,2,"Green Eye Shadow,Straight Hair"
23,2023,Female,5807,Mid,3,"Green Eye Shadow,Messy Hair,Mole"
24,2024,Male,7291,Dark,3,"Goat,Knitted Cap,Nerd Glasses"
25,2025,Male,8271,Light,2,"Mohawk Dark,Small Shades"
26,2026,Male,7798,Dark,3,"Cigarette,Horned Rim Glasses,Peak Spike"
27,2027,Male,6431,Light,2,"3D Glasses,Knitted Cap"
28,2028,Male,5092,Mid,3,"Crazy Hair,Earring,Front Beard Dark"
29,2029,Male,1457,Albino,2,"Cowboy Hat,Horned Rim Glasses"
30,2030,Female,6406,Mid,3,"3D Glasses,Crazy Hair,Earring"
31,2031,Male,8300,Mid,3,"Cigarette,Small Shades,Wild Hair"
32,2032,Male,5309,Light,4,"Earring,Frown,Frumpy Hair,Shadow Beard"
33,2033,Female,2433,Light,5,"Clown Eyes Blue,Gold Chain,Mole,Purple Lipstick,Straight Hair Dark"
34,2034,Female,1234,Light,2,"Purple Eye Shadow,Wild White Hair"
35,2035,Male,7924,Dark,3,"Cap,Shadow Beard,VR"
36,2036,Male,5475,Light,3,"Cigarette,Handlebars,Shaved Head"
37,2037,Female,9435,Mid,3,"Frumpy Hair,Hot Lipstick,Mole"
38,2038,Male,4773,Light,3,"Cap Forward,Earring,Mole"
39,2039,Female,5818,Albino,3,"Green Eye Shadow,Purple Lipstick,Stringy Hair"
40,2040,Male,8687,Dark,2,"Headband,Mole"
41,2041,Female,4535,Dark,1,Cigarette
42,2042,Male,6412,Mid,2,"3D Glasses,Crazy Hair"
43,2043,Male,5164,Dark,2,"Front Beard Dark,Stringy Hair"
44,2044,Male,3935,Light,2,"Handlebars,Police Cap"
45,2045,Male,6072,Mid,3,"Front Beard,Regular Shades,Wild Hair"
46,2046,Female,2583,Light,3,"Clown Eyes Blue,Earring,Straight Hair Dark,Hidden Earring"
47,2047,Female,2364,Dark,2,"Half Shaved,Mole"
48,2048,Male,4788,Mid,3,"Front Beard Dark,Hoodie,VR"
49,2049,Male,3340,Light,5,"Chinstrap,Do-rag,Earring,Pipe,VR"
50,2050,Male,5025,Light,4,"Do-rag,Earring,Front Beard Dark,Regular Shades"
51,2051,Male,4828,Light,2,"Front Beard,Hoodie"
52,2052,Female,8026,Dark,1,Cap
53,2053,Female,9197,Dark,2,"Big Shades,Mohawk"
54,2054,Female,1495,Dark,4,"Clown Eyes Green,Clown Nose,Pipe,Straight Hair Blonde"
55,2055,Male,7107,Dark,2,"Eye Mask,Peak Spike"
56,2056,Male,7520,Light,3,"Cigarette,Regular Shades,Shaved Head"
57,2057,Male,6873,Light,2,"Normal Beard Black,Wild Hair"
58,2058,Male,3198,Mid,3,"Earring,Goat,Purple Hair,Hidden Earring"
59,2059,Male,8955,Mid,3,"Earring,Eye Patch,Mohawk Dark"
60,2060,Male,3206,Light,2,"Muttonchops,Purple Hair"
61,2061,Male,4671,Mid,2,"Cap Forward,Normal Beard"
62,2062,Female,9222,Light,3,"Mohawk Thin,Nerd Glasses,Purple Lipstick"
