,id,types,rarity,skin,total_traits,traits
0,7442,Male,5285,Mid,3,"Frown,Horned Rim Glasses,Knitted Cap"
1,7443,Male,4205,Dark,3,"Bandana,Big Shades,Clown Nose"
2,7444,Male,6372,Dark,3,"Luxurious Beard,Mohawk,Small Shades"
3,7445,Female,1722,Light,3,"Cigarette,Hot Lipstick,Wild Blonde"
4,7446,Male,9473,Albino,2,"Eye Patch,Wild Hair"
5,7447,Female,5747,Mid,2,"Crazy Hair,Green Eye Shadow"
6,7448,Female,5646,Mid,2,"Blue Eye Shadow,Crazy Hair"
7,7449,Male,5018,Mid,4,"Cigarette,Do-rag,Front Beard Dark,Small Shades"
8,7450,Female,3448,Mid,4,"Cigarette,Gold Chain,Mohawk,Purple Lipstick"
9,7451,Male,7940,Albino,2,"Crazy Hair,VR"
10,7452,Male,6882,Light,2,"Messy Hair,Normal Beard Black"
11,7453,Male,6356,Dark,3,"Cap,Luxurious Beard,VR"
12,7454,Male,5976,Dark,2,"Front Beard,Shaved Head"
13,7455,Female,7848,Light,2,"Headband,Pipe"
14,7456,Female,2489,Dark,3,"Black Lipstick,Green Eye Shadow,Straight Hair Dark"
15,7457,Female,421,Mid,3,"Black Lipstick,Blonde Bob,Welding Goggles"
16,7458,Zombie,548,Zombie,3,"Knitted Cap,Regular Shades,Shadow Beard"
17,7459,Female,5342,Mid,3,"Cap,Earring,Purple Eye Shadow"
18,7460,Male,7155,Dark,3,"Earring,Eye Mask,Mohawk"
19,7461,Male,3504,Mid,3,"Handlebars,Medical Mask,Wild Hair,Hidden Handlebars"
20,7462,Male,6121,Mid,3,"Chinstrap,Eye Mask,Mohawk Dark"
21,7463,Male,8701,Mid,3,"Cigarette,Earring,Headband"
22,7464,Female,5635,Light,4,"Blue Eye Shadow,Earring,Headband,Hot Lipstick"
23,7465,Female,1676,Mid,2,"Horned Rim Glasses,Straight Hair Blonde"
24,7466,Male,9616,Mid,3,"Messy Hair,Regular Shades,Shadow Beard"
25,7467,Male,4612,Mid,3,"Cap Forward,Cigarette,Front Beard"
26,7468,Male,4653,Light,3,"Big Shades,Cap Forward,Normal Beard Black"
27,7469,Female,3707,Mid,3,"Earring,Nerd Glasses,Tassle Hat,Hidden Earring"
28,7470,Male,2191,Mid,3,"Clown Eyes Green,Earring,Vampire Hair"
29,7471,Male,1441,Mid,3,"Cowboy Hat,Eye Patch,Mole"
30,7472,Male,7019,Mid,3,"Big Shades,Mohawk Thin,Normal Beard"
31,7473,Female,2440,Mid,4,"Clown Eyes Green,Gold Chain,Hot Lipstick,Straight Hair Dark"
32,7474,Female,8678,Albino,3,"Black Lipstick,Earring,Headband"
33,7475,Female,3561,Albino,2,"Medical Mask,Mohawk Thin"
34,7476,Male,3557,Mid,2,"Medical Mask,Mohawk Dark"
35,7477,Male,4332,Light,3,"Big Shades,Knitted Cap,Smile"
36,7478,Male,2258,Light,3,"Earring,Shadow Beard,Vampire Hair"
37,7479,Male,6285,Dark,3,"3D Glasses,Bandana,Normal Beard Black"
38,7480,Male,3534,Light,3,"Classic Shades,Medical Mask,Peak Spike"
39,7481,Male,6004,Light,3,"Front Beard,Small Shades,Wild Hair"
40,7482,Female,1125,Light,2,"Blonde Short,Green Eye Shadow"
41,7483,Male,7906,Dark,4,"Earring,Messy Hair,Nerd Glasses,Pipe"
42,7484,Female,995,Dark,3,"Dark Hair,Hot Lipstick,Rosy Cheeks"
43,7485,Male,1345,Dark,3,"Cowboy Hat,Gold Chain,Shadow Beard"
44,7486,Female,9243,Dark,4,"Black Lipstick,Earring,Mohawk,Mole"
45,7487,Male,8863,Light,3,"Horned Rim Glasses,Knitted Cap,Shadow Beard"
46,7488,Male,6398,Light,3,"3D Glasses,Crazy Hair,Shadow Beard"
47,7489,Male,7735,Light,4,"Classic Shades,Earring,Messy Hair,Muttonchops"
48,7490,Male,5864,Mid,4,"Big Shades,Mole,Shaved Head,Vape"
49,7491,Male,6623,Albino,3,"Classic Shades,Headband,Mustache"
50,7492,Male,6031,Dark,2,"Front Beard,Knitted Cap"
51,7493,Female,5444,Mid,3,"Bandana,Mole,Purple Eye Shadow"
52,7494,Male,9551,Dark,2,"Nerd Glasses,Wild Hair"
53,7495,Female,2842,Dark,3,"Cigarette,Purple Lipstick,Straight Hair"
54,7496,Male,1003,Albino,5,"Clown Eyes Green,Earring,Frumpy Hair,Luxurious Beard,Rosy Cheeks"
55,7497,Female,5689,Light,2,"Blue Eye Shadow,Wild Hair"
56,7498,Female,7177,Light,2,"Eye Mask,Wild Hair"
57,7499,Female,5681,Light,2,"Blue Eye Shadow,Frumpy Hair"
58,7500,Female,7143,Mid,4,"Earring,Eye Mask,Hot Lipstick,Mohawk Dark,Hidden Earring"
59,7501,Male,4888,Albino,3,"Cigarette,Hoodie,Normal Beard"
60,7502,Female,8597,Light,3,"Bandana,Clown Eyes Blue,Earring"
61,7503,Female,865,Mid,2,"Blonde Short,Spots"
62,7504,Male,4704,Light,2,"Cap Forward,VR"
63,7505,Male,6574,Light,4,"Do-rag,Earring,Eye Patch,Mustache"
64,7506,Female,9300,Dark,3,"Earring,Hot Lipstick,Mohawk"
65,7507,Male,4124,Mid,3,"Clown Nose,Messy Hair,Normal Beard Black"
66,7508,Male,7989,Mid,3,"Earring,VR,Wild Hair"
67,7509,Female,1977,Dark,3,"Black Lipstick,Blue Eye Shadow,Half Shaved"
68,7510,Male,4244,Dark,3,"Chinstrap,Mohawk,Smile"
